experiment,epoch,loss,date,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr
resnet18_bs64_ft0_l3_h1,14,41.9603133544922,2020-04-17 05:43:16.706420,0.589013016295932,0.400188375165087,0.263286830936659,0.171329064638943,0.178018643236048,0.425673729068694,0.406473811492192
resnet18_bs64_ft0_l5_h1,16,39.0515314941406,2020-04-17 08:04:03.627139,0.590286298568447,0.402942114328052,0.266602279140322,0.174268524796856,0.182132164877874,0.423604562543404,0.419139249052062
resnet18_bs64_ft0_l7_h1,11,41.0975938557943,2020-04-17 10:16:25.287667,0.595721987825533,0.409956330978832,0.271270465104851,0.175049602194183,0.174456903000819,0.418732750145683,0.395834106098999
resnet18_bs64_ft0_l3_h2,7,45.1613604410807,2020-04-17 11:51:25.789480,0.603541667756108,0.410285017723981,0.269332749198793,0.17153371938553,0.172082607297784,0.417483772518542,0.383447383970859
resnet18_bs64_ft0_l5_h2,5,46.4478171061198,2020-04-17 13:35:40.651024,0.575463010334536,0.394366865796196,0.260744584606148,0.168227333331904,0.175673019543892,0.415767964591062,0.393451093081757
resnet18_bs64_ft0_l7_h2,8,41.8883940755208,2020-04-17 17:48:32.246026,0.587544329720275,0.396155055633566,0.260094515763228,0.164701557164773,0.170705656417971,0.415658062650327,0.387475515995044
resnet18_bs64_ft0_l3_h3,4,48.1328853759766,2020-04-17 19:22:37.715955,0.586564885496123,0.401638708039841,0.263255032697311,0.16671754581427,0.171966494316076,0.417716391509688,0.367661099614092
resnet18_bs64_ft0_l5_h3,8,41.5873956298828,2020-04-17 21:51:52.000388,0.575875875875818,0.39233900146715,0.256014627839006,0.164764591167253,0.175336877044022,0.417032333671637,0.388809023552958
resnet18_bs64_ft0_l7_h3,6,43.299091813151,2020-04-18 00:36:05.077389,0.59047015926365,0.404126352220292,0.266633804158014,0.172393709376665,0.172913498722021,0.419797880982603,0.393476949024959
resnet18_bs64_ft1_l3_h1,14,41.4246530843099,2020-04-18 01:33:30.143870,0.591156325543857,0.407428351461491,0.272930891599101,0.177859122555463,0.181343720439741,0.431940840183773,0.437379154907403
resnet18_bs64_ft1_l5_h1,19,35.2099123128255,2020-04-18 02:55:16.650848,0.580202681953058,0.394823027183161,0.262455013075478,0.172431666007569,0.178271143225984,0.41991643613818,0.399942715077044
resnet18_bs64_ft1_l7_h1,12,38.9029117757161,2020-04-18 04:16:38.237405,0.577727585190948,0.394998185453191,0.261606028302783,0.168964816932327,0.181185334114389,0.426205621748728,0.417851907623819
resnet18_bs64_ft1_l3_h2,8,42.2260498982747,2020-04-18 05:27:48.936433,0.605383747631704,0.418895649643492,0.278079246010572,0.178755271159084,0.180698644398809,0.42846892653866,0.411384989694934
resnet18_bs64_ft1_l5_h2,8,39.5560412516276,2020-04-18 07:09:22.653572,0.591422279355107,0.406246531838327,0.26861360113065,0.173151818558772,0.178683107200875,0.423796812868835,0.422884096222352
resnet18_bs64_ft1_l7_h2,9,39.0537100260417,2020-04-18 08:53:51.097100,0.585126425384176,0.401827409159162,0.264920921513326,0.169831030449903,0.179420122353495,0.42518069507969,0.423444742929435
resnet18_bs64_ft1_l3_h3,5,43.9431692667643,2020-04-18 10:16:00.278314,0.597719188114606,0.413155043470736,0.277971272724479,0.182539563688212,0.180615626777468,0.427873269463185,0.430348533019964
resnet18_bs64_ft1_l5_h3,11,35.8741467081706,2020-04-18 12:19:29.700306,0.577513620604202,0.385714449304047,0.251348463868765,0.161638211501512,0.181368067978516,0.419807734834959,0.407615236330005
resnet18_bs64_ft1_l7_h3,6,41.7872472086589,2020-04-18 14:20:53.583437,0.574134039839017,0.392802046537895,0.258968630189222,0.165549603437711,0.183229068065627,0.421299406621612,0.414268190834623
resnet50_bs32_ft0_l3_h1,3,42.2063491027832,2020-04-18 16:26:30.588523,0.60237480640159,0.41314670678871,0.277873596237883,0.184878093652362,0.182540162977088,0.431969296333947,0.453218791380881
resnet50_bs32_ft1_l3_h1,4,36.0270101267497,2020-04-18 18:37:03.686163,0.594914080167896,0.405624611924308,0.267524812997259,0.173873688799283,0.181904376571545,0.425074022969164,0.437307259421733
resnet101_bs32_ft0_l3_h1,1,52.9790090393066,2020-04-18 20:35:11.439308,0.595701069843399,0.41060048083779,0.272004032093772,0.179041274937953,0.177687748908928,0.423993168534624,0.404554644964696
resnet101_bs32_ft1_l3_h1,3,37.5786676106771,2020-04-18 23:07:05.628863,0.613296736809941,0.427229048292185,0.289890819332909,0.192202549799963,0.194992692478327,0.442398104274479,0.473963516007388
